source_type,title,url,published_date,ticker
SEC,10-K - 2025-02-25,https://www.sec.gov/Archives/edgar/data/1274494/000127449425000010/fslr-20241231.htm,2025-02-25,FSLR
SEC,10-K - 2024-02-27,https://www.sec.gov/Archives/edgar/data/1274494/000127449424000004/fslr-20231231.htm,2024-02-27,FSLR
SEC,10-K - 2023-02-28,https://www.sec.gov/Archives/edgar/data/1274494/000127449423000002/fslr-20221231.htm,2023-02-28,FSLR
