source_type,title,url,published_date,ticker
SEC,10-K - 2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,2025-10-31,AAPL
SEC,10-K - 2024-11-01,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2024-11-01,AAPL
SEC,10-K - 2023-11-03,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,2023-11-03,AAPL
